tokens,rewards
"3,3,0,5,0,5,3,1,7,1,2,2,0,0,2,0,0,0,0",0.743507411587439
"6,1,1,7,2,0,3,0,0,0",0.8925346051605395
"3,3,5,0,5,4,0,3,4,0,7,0,0",0.8249764755790742
"2,7,5,3,2,2,1,0,3,0,4,2,3,0,0,0,0,0,3,0,0,0",0.9816557188489261
"5,2,7,3,0,4,2,3,1,4,2,0,3,3,4,0,0,0,0,0,0,0,0,0",0.8934142020965133
"6,1,3,7,4,0,0,3,3,0,2,2,4,0,0,0,0,0",0.5693838440353839
"5,1,7,2,3,0,0,2,1,3,2,3,0,4,1,0,0,0,0,0,0,0",0.8934142020964375
"5,2,0,1,3,0,2,2,7,1,1,0,0,0,3,0,0,0",0.6737959113579153
"6,4,3,0,0,3,3,0,7,2,4,2,0,0,0,0",0.893024946938458
"3,5,0,6,2,3,3,0,3,7,1,0,4,1,0,0,0,0,0",0.5976771526888751
"6,3,3,1,7,2,4,4,2,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0",0.5870294107802809
"4,4,0,0,6,3,7,3,2,0,1,4,0,2,0,0,0,0",0.0
"5,4,7,4,0,3,0,4,3,0,4,4,4,4,0,0,0,0,0,0",0.624628030878103
"6,2,0,4,1,4,7,1,3,1,1,4,0,0,0,0,0,0,0,0",0.7528442632827633
"5,4,2,4,4,4,3,0,7,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0",0.44695928171469484
"6,4,0,4,4,7,0,1,1,3,3,2,0,0,3,0,0,0,0,0",0.6103637442877694
"1,7,3,5,0,5,1,0,1,1,1,1,0,3,0,0,0,0,0",0.740799992742178
"3,5,1,2,0,4,7,4,4,0,3,4,0,0,0,0,0,0",0.8891933340614284
"3,2,4,3,5,0,4,1,0,4,6,4,4,0,0,0,0,0,7,0,0",0.958981295420486
"6,1,4,0,7,4,0,2,4,2,4,0,3,0,3,0,0,0,0,0",0.5444751204027016
"5,2,7,2,3,1,3,2,4,2,2,0,0,0,2,0,0,0,0,0,0,0",0.0
"1,6,0,1,5,0,3,3,7,0,2,0,0",0.5538997535223427
"3,2,6,2,1,1,7,4,2,3,0,0,2,0,0,0,0,0,0,0",0.4171917718933432
"5,1,0,4,7,2,4,0,2,3,0,0,3,0,0,0",0.0
"5,2,4,4,1,1,1,1,7,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0",0.35483833262328496
"5,4,2,1,7,3,3,2,4,0,0,0,3,0,0,0,0,0",0.5905128682452581
"4,7,1,3,0,1,2,5,1,4,1,1,0,0,0,0,0,0,0,0",0.8549432424528054
"5,4,7,4,3,1,0,0,3,2,4,1,0,0,3,3,0,0,0,0,0,0",0.5434292670950412
"5,3,1,4,4,7,0,0,3,4,0,1,1,0,0,2,0,0,0,0",0.8513270776926509
"2,5,0,3,5,3,7,3,2,0,2,0,4,4,0,0,0,0,0",0.7925374539970447
"3,1,7,1,5,1,1,2,4,2,0,0,4,0,0,0,0,0,0,0",0.8111469459751314
"4,2,3,0,1,0,2,7,5,0,3,3,5,2,0,0,0,0,0",0.9869743818357447
"1,2,2,0,5,1,4,7,3,2,3,2,3,0,1,0,0,0,0,0,0,0,0,0",0.7000113538558979
"5,3,0,4,0,1,3,0,3,7,0,2,2,1,0,0,0,0",0.8934124055313782
"5,3,0,3,0,4,0,1,0,4,4,2,0,7,0,0",0.8603533497862718
"3,0,6,3,0,1,7,4,1,3,0,3,2,2,0,0,0,0,0,0",0.8416052121644015
"5,2,7,1,0,1,0,3,3,0,0,4,1,0,0,0",0.47986363334184545
"6,4,1,7,3,3,2,1,2,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0",0.7155469015737405
"3,1,3,0,0,3,7,5,4,0,1,2,4,3,2,0,0,0,0,0,0,0",0.0
"5,4,0,1,4,7,0,1,4,1,4,1,2,0,0,0,0,0,0,0",0.8113986464903818
"5,4,2,1,7,3,0,3,3,0,2,2,0,0,0,0,0,0",0.387557007106694
"5,2,1,1,2,7,3,1,4,0,0,4,0,3,0,0,0,4,0,0,0,0",0.8510975994323919
"6,4,0,4,0,2,4,2,7,0,0,0",0.7166429118439511
"1,5,0,6,1,2,0,7,3,4,3,4,1,0,2,0,0,0,0,0,0",0.9783806687653691
"5,2,7,1,4,3,0,2,0,1,3,3,4,3,0,0,0,0,0,0,0,0",0.7302727474981698
"4,0,5,4,7,4,1,4,0,1,4,4,0,0,2,0,4,1,0,0,0,0,0,0",0.04369714853564299
"5,1,0,2,4,7,4,4,0,1,1,4,3,0,0,2,0,0,0,0,0,0",0.0
"4,0,2,7,6,2,2,1,3,2,2,0,0,0,3,0,2,0,0,0,0,0",0.9582333108361886
"3,1,7,6,4,2,0,4,1,3,0,1,2,3,3,0,0,0,0,0,0,0,0,0",0.9505048798489094
"6,2,1,0,0,4,2,7,3,3,2,0,0,3,0,0,0,0",0.5847098190586639
"5,4,7,1,3,0,0,1,2,4,0,0,2,0,0,1,0,0",0.862531891075119
"4,1,5,4,1,1,7,3,3,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0",0.9058980104963891
"4,7,6,3,3,4,0,3,0,4,0,1,0,1,0,0,0,0",0.5285856792900798
"3,5,3,2,1,0,1,1,2,0,2,4,2,0,0,7,0,0,0,0,0,0",0.6055501657888569
"1,5,0,3,6,1,3,7,4,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0",0.8069016455743773
"1,0,1,5,0,1,0,6,0",0.0
"5,4,0,3,7,2,0,0",0.0
"3,4,1,0,6,0,3,7,1,5,2,0,0,0,0",0.9789568990200078
"6,2,0,2,4,4,3,7,3,0,0,1,1,1,0,0,0,0,0,0",0.7513641808460256
"4,7,4,4,2,5,3,1,3,0,0,0,0,5,4,0,0,1,0,0,0",0.5073204737670541
"4,6,2,0,0,5,1,2,2,7,1,1,0,0,0,0,0",0.24953888458576373
"1,2,1,7,5,2,1,0,3,3,2,1,0,0,0,0,0,0,0,0",0.97215535053168
"1,1,2,3,6,2,0,7,6,0,5,0,4,0,0,2,0,0",0.6893152900964081
"3,3,3,0,3,4,6,0,0,5,1,7,0,0,0",0.6450826753043115
"5,1,3,7,1,2,3,0,4,4,0,0,0,4,0,0,0,0",0.732195509389654
"5,3,7,3,1,0,0,0",0.710695352920109
"3,1,4,0,5,1,7,0,5,1,2,2,2,0,0,2,0,0,0,0,0",0.5990490942354859
"2,1,7,5,0,1,0,6,1,0,0",0.9565946383931684
"1,7,4,4,0,4,6,0,2,4,4,5,4,4,0,0,0,0,0,0,0",0.11118932959700284
"5,4,0,1,2,7,1,4,0,4,4,2,0,0,0,0,0,0",0.0
"4,7,2,5,1,0,1,0,1,2,4,2,4,0,0,0,0,0,0,0",0.5539275282482743
"2,2,5,0,7,6,2,1,3,4,2,1,0,1,0,0,0,0,0,0,0",0.8205368227412885
"6,2,7,3,0,2,0,3,1,2,0,1,0,0,0,0",0.7585565269845037
"6,2,2,3,3,1,4,7,2,3,3,3,0,0,0,0,0,0,0,0,0,0",0.719128285305103
"2,5,0,5,2,3,4,3,7,2,0,0,0,3,4,0,0,0,0",0.45637257113331675
"5,1,0,4,0,2,2,1,3,7,4,0,2,0,0,0,0,0",0.0
"2,4,0,5,3,1,7,1,1,0,3,4,3,0,0,0,0,0,0,0",0.046396742098238034
"2,6,0,3,6,3,0,3,0,1,1,2,0,0,0,7,0",0.6917436237048958
"1,6,0,1,2,7,5,0,1,1,5,4,0,3,2,0,0,0,0,0",0.0
"4,1,0,3,7,0,6,3,0,4,2,2,0,0,0,0",0.7894237550935824
"5,1,0,1,0,3,4,3,7,3,4,0,1,4,0,0,0,0,0,0",0.7334284397205686
"1,6,3,1,7,4,2,2,2,2,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0",0.9519403935318533
"4,5,0,3,0,5,1,2,7,3,0,0,2,4,0,0,0",0.32248258700068017
"6,3,0,1,7,1,3,0,2,4,3,0,0,0,0,0",0.7655714799353871
"1,3,5,1,7,1,1,3,0,4,2,2,0,0,0,0,0,0,0,0",0.6885586769128009
"3,5,0,2,4,2,7,6,4,4,3,0,4,4,3,0,0,0,0,0,0,0,0",0.5710955349175253
"5,1,7,4,2,0,1,2,0,3,2,1,1,0,0,0,0,0,0,0",0.7513717378400752
"4,5,0,4,7,6,2,1,0,2,0,3,0,3,4,0,0,0,0",0.7425764950981929
"6,1,7,1,2,2,0,0,0,2,3,1,3,0,0,0,0,0",0.6151545925465813
"4,7,5,3,0,2,0,4,0,4,3,3,0,0,0,4,0,0",0.5044372346812761
"6,4,7,1,3,4,1,4,0,2,0,0,4,0,1,0,0,0,0,0",0.0
"6,4,7,4,0,3,1,0,3,4,0,0,0,0",0.8390131410154628
"4,3,4,6,1,3,3,7,3,2,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0",0.6065979627628671
"5,4,0,1,0,3,1,0,0,7",0.8931682338299621
"4,3,4,0,7,6,4,1,0,4,0,0,2,3,1,0,4,0,0,0,0,0",0.4816469021820054
"6,2,1,7,4,4,1,0,4,3,1,2,0,2,0,0,0,0,0,0,0,0",0.5707699117530368
"5,1,7,2,0,3,1,3,4,0,0,0,0,2,0,0",0.8510975548002653
"4,5,2,0,4,1,3,3,7,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0",0.47233442834532036
"6,2,4,2,1,0,7,4,4,0,0,0,0,0",0.8446527087721839
"6,3,7,3,0,1,0,1,2,3,2,3,4,4,0,0,0,0,0,0,0,0",0.8482456043273388
"1,6,0,6,3,0,2,7,2,0,0",0.8686121230421194
"6,1,2,2,7,1,4,3,4,1,0,2,0,0,0,0,0,2,0,0,0,0",0.6618018208360781
"2,1,2,0,0,0,4,7,6,4,3,2,3,2,4,0,3,0,0,0,0,0,0,0",0.6852920139834972
"3,0,6,4,7,4,0,4,1,0,1,0,4,0,0,0",0.822739472770102
