tokens,rewards
"3,3,0,5,1,5,5,1,7,2,4,5,1,0,5,0,0,0,0,0",0.0
"6,1,3,6,4,2,6,0,1,0,3,6,3,5,0,0,0,7,0,0",0.0
"3,3,5,0,5,5,0,5,4,1,7,1,0,3,0,0,0",0.6675507199534841
"2,7,5,4,5,3,2,0,5,1,6,3,5,1,2,0,0,0,6,0,0,0,0",0.0
"5,2,7,5,2,6,3,5,2,6,3,0,6,6,6,0,0,0,0",0.0
"6,1,5,5,5,0,1,6,6,1,5,3,7,0,0,0",0.0012268741941903977
"5,1,7,3,5,0,1,2,2,5,3,5,0,6,2,0,0,0,0,0",0.0
"5,3,0,2,5,0,4,3,7,2,3,0,1,1,6,0,0,0,0,0",0.23852473157886694
"6,6,4,0,2,6,3,0,7,4,6,3,0,0,0",0.0
"3,5,0,6,2,5,3,1,5,5,2,3,7,3,0,0,0,0,0,0",0.02207875663910311
"6,4,5,1,6,3,7,6,4,5,3,0,5,2,0,0,0,0,0",0.9133904363901753
"4,4,0,0,6,4,6,3,5,0,4,7,0,5,0",0.0
"5,5,5,5,1,5,0,6,4,1,7,6,6,6,0,0",0.0
"6,2,1,6,1,6,6,2,6,2,3,7,0,0,0,0,0,0",0.0
"5,5,3,6,4,5,3,0,7,6,6,2,3,3,2,0,0,0,0,0,0",0.0
"6,6,2,7,5,5,2,2,2,5,4,4,0,2,6,0,0,0,0,0,0",0.0
"1,7,3,5,0,5,1,1,2,3,2,3,0,5,0,0,0,0,0,0",3.880747603418869e-07
"3,5,2,4,1,5,5,5,5,1,6,6,1,0,0,2,7,0,0,0,0,0",0.0
"3,2,4,3,5,0,4,1,0,4,6,6,4,0,0,0,0,0,7,0",0.0
"6,1,5,0,6,6,2,5,5,4,7,1,5,1,5,0,0,0,0",0.9465725528603693
"5,3,7,4,5,1,6,3,6,3,5,0,0,0,5,0,0",0.47063990985137855
"1,6,0,1,5,1,3,3,7,0,2,0,0,0,6,0",0.191545152787038
"3,2,6,3,2,2,6,6,3,6,0,2,5,0,0,0,0,7,0,0",0.0
"5,1,1,6,6,2,7,0,4,5,0,0,5,0",0.0
"5,2,5,4,2,2,2,2,7,0,5,4,4,0,6,0,0,0,0,0,0",0.6627333967986104
"5,5,3,2,7,5,5,3,6,1,1,0,5,0,0,0,0",0.911041322773391
"4,7,1,3,0,1,2,5,2,6,2,3,0,0,0,3,0,0,0,0,0",0.0
"5,5,5,5,5,3,0,3,6,4,7,2,0,0,5,5,0",0.0
"5,4,3,6,4,6,0,2,6,6,0,4,5,0,6,4,0,0,0,0",0.0
"2,5,0,3,5,4,6,6,3,2,5,1,7,6,0,3,0,0,0,0,0",0.0
"3,1,7,1,5,2,3,4,6,3,1,0,6,0,0,0,2,0,0,0,0,0",0.9548910928746646
"4,2,3,0,1,0,2,7,5,1,3,3,5,4,0,1,0,0,0,0,0,0,0",0.0008671879430660917
"1,2,2,0,5,2,6,6,6,4,6,3,7,0,4,0,0,0,0,0",0.0
"5,4,1,7,1,0,4,0,4,6,0,4,5,3,0,0,0,0",0.7014421357660838
"5,4,0,5,1,7,1,1,0,5,4,3,0,5,0,0,0",0.911354524527113
"3,0,6,4,0,1,7,6,2,5,0,5,3,5,0,0",0.0
"5,3,7,1,0,2,0,5,5,0",0.9518051617116112
"6,6,2,7,5,5,4,2,5,2,5,2,6,6,1,0,0,0,0,0,0",0.0
"3,1,3,0,0,3,7,5,5,0,3,4,6,4,5,0,0,0,0",0.9553367607215271
"5,5,1,0,5,5,2,2,7,2,6,2,5,0,0,0,0",0.0
"5,5,3,2,6,6,0,6,4,0,5,3,1,0,1,7,0,0,0",0.0
"5,3,3,3,3,6,4,4,7,0,0,6,1,5,0,0,0,6,0,0",0.5268262683921638
"6,6,1,7,1,2,5,2,6,1,0,1,5,0,0,0,6,0,0",0.9115311174378089
"1,5,0,6,2,4,0,7,6,6,4,6,2,2,5,0,0,0,0",0.0
"5,3,7,1,6,6,0,5,0",0.0
"4,0,5,5,5,5,3,7,1,2,6,6,0,1,5,0,6,3,0,0,0",0.0
"5,1,0,4,6,6,6,6,0,4,3,7,5,0,3,5,0,0",0.0
"4,0,2,7,6,3,4,3,5,3,4,2,0,1,5,0,5,0,0,0,0,0,0",0.7362884651359289
"3,1,7,6,6,3,0,6,2,5,0,3,5,4,5,0,3,0,0,0,0",0.0
"6,3,2,0,1,7,2,6,4,5,3,0,0,6,0,0,0",0.0
"5,5,5,1,6,0,2,1,5,5,1,3,5,1,0,7,0,0,0,0",0.0
"4,1,5,5,1,2,7,5,4,5,0,2,3,0,5,4,0,0,0,0,0,0",0.408388721319978
"4,7,6,4,5,5,1,5,0,6,1,2,0,4,0,0,0,0",0.559860901145832
"3,5,5,2,3,0,3,2,4,0,4,6,2,0,0,7,0,0,0,0",0.0
"1,5,0,3,6,2,5,5,5,3,7,5,2,4,0,5,0,0,0,0",0.1523306410554292
"1,0,1,5,1,0,0,6,0",0.0
"5,5,1,5,5,2,0,0,6,0",0.0
"3,4,1,0,6,0,3,7,1,5,3,0,2,0,0,0,0",0.892835658835551
"6,3,1,2,6,4,5,5,4,0,2,3,4,6,2,0,0,7,0,0,0,0,0,0",0.0
"4,7,4,4,2,5,4,3,6,0,0,1,0,5,5,0,0,1,0,0,0",0.4822279525511203
"4,6,4,0,0,5,1,4,4,6,2,4,0,0,4,0,7,0,0,0",0.0
"1,2,1,7,5,4,3,0,5,5,3,3,1,1,1,0,0,0,0,0,0,0,0,0",0.0
"1,1,2,3,6,3,0,7,6,1,5,0,4,0,0,2,0,0,0,0",0.8020443276917163
"3,3,3,0,3,4,6,0,0,5,2,6,0,1,2,0,7,0,0,0",0.5174754775688115
"5,1,5,5,2,5,4,2,7,6,0,0,2,6,0,1,0,0,0",0.0
"5,4,7,5,3,1,2,0,6,3,5,0,6,1,0,0,0,0",0.9135411792563746
"3,1,4,0,5,1,7,1,5,2,5,4,4,1,3,5,0,0,0,0,0,0,0,0,0",0.8982971472877478
"2,1,7,5,1,0,0,6,2,0,1,6,6,6,0,0",0.0
"1,7,4,4,0,4,6,1,2,4,4,5,5,5,0,0,0,0,0,0,0",0.9000499323484259
"5,5,1,0,4,7,3,6,0,6,6,4,0,0",0.0
"4,7,2,5,2,0,2,0,3,5,5,3,6,1,0,0,0,0,0",0.5182100781805073
"2,2,5,0,7,6,2,3,5,5,3,3,2,4,1,0,0,0,0,0,0,0,0",0.843499676115526
"6,3,7,5,2,3,1,5,1,4,0,3,0,1,0,0,0,0,0,0",0.0
"6,3,4,5,3,2,6,6,4,6,6,6,0,0,2,7,0,0,0,0",0.0
"2,5,0,5,3,5,4,5,5,3,2,0,3,7,6,0,0,0,0",0.0
"5,2,0,6,1,4,4,3,5,5,5,0,5,0,0,7,0",0.47067669602997186
"2,4,0,5,5,1,7,3,2,0,6,6,4,2,0,0,0,0,0",0.0
"2,6,0,3,6,6,0,5,0",0.0
"1,6,0,1,2,7,5,0,1,1,5,5,0,5,3,0,0,0",0.0026167489698587015
"4,1,0,3,7,0,6,6,0",0.0
"5,1,0,2,0,5,5,4,7,5,5,0",0.9759288190699933
"1,6,4,2,7,6,3,4,4,4,5,2,0,4,0,5,0,0,0,0,0,0,0",0.0
"4,5,0,3,0,5,1,3,7,5,0,2,4,6,0,0,0",0.605229494901366
"6,4,0,1,6,0,5,1,5,5,5,1,0,0,3,0,7",0.0
"1,3,5,2,7,2,3,6,0,6,3,4,0,0,1,3,0,4,0,0,0,0,0,0",0.8108205810596522
"3,5,0,2,4,2,7,6,6,6,6,0,6,6,6,0,0",0.0
"5,2,7,6,4,1,3,4,0,5,3,3,3,0,2,0,0,0,0,0,0,0",0.8429382326512241
"4,5,1,4,7,6,3,2,0,4,2,5,0,5,5,0,0,0,0,0",0.977825717462612
"6,2,7,1,5,3,1,1,2,4,5,2,5,0,0,0,0,0,0,0,0",0.0
"4,7,5,4,0,4,0,6,0",0.7729683704508025
"6,6,6,1,6,6,2,7,0,4,0,0",0.0
"6,6,6,6,2,6,1,0,6,6,0,0",0.0
"4,3,4,6,2,5,3,7,5,3,6,4,6,6,0,0,0,0,0,0,0",0.0
"5,5,1,0,1,5,1,1,0,6,2,0,6,4,7,0,0,0",0.0
"4,3,4,0,7,6,6,2,0,6,0,0",0.44683323990456225
"6,3,2,7,6,6,1,0,6,6,2,4,1,5,0,0,0,0,0",0.0
"5,1,6,2,0,6,1,6,6,0,0,0",0.0
"4,5,3,0,5,1,5,3,7,5,4,4,3,5,0,0,0,0,0,0",0.0
"6,3,6,2,3,0,7,6,6,0,1,0,0",0.0
"6,6,6,4,0,2,0,3,5,4,5,5,5,5,0,4,0,7,0",0.0
"1,6,0,6,6,2,4,6,3,0,0,0,6,0",0.0
"6,1,4,4,7,3,6,4,6,2,0,4,0,0,0,0,0,5,0",0.0
"2,1,2,0,0,0,4,7,6,6,4,4,5,4,6,0,5,1,0,0,0,0",0.0
"3,0,6,6,6,6,2,7,2,1,3,0,6,1,0,0,0,2,0,0",0.0
"6,6,2,7,2,6,1,5,5,4,6,3,0,0,3,0,0,0,0",0.0
"3,1,1,5,0,1,7,3,0,4,2,2,2,0,1,0,6,0,0,0,0,0,0",0.9193830107527381
"3,6,4,5,0,6,1,2,1,2,3,2,4,0,4,0,0,7,0,0,0,0,0,0",0.0
"6,4,0,6,3,3,1,5,4,1,0,2,3,2,1,6,0,0,0,0,7,0,0,0,0",0.0
"2,3,7,2,2,5,5,4,3,3,0,0,1,5,0,0,0,0,0,0",0.0
"5,3,4,3,4,7,1,1,4,1,0,4,6,2,0,0,3,0,0,0,0,0,0,0,0",0.0
"2,5,3,6,6,1,6,4,6,4,2,5,0,6,0,7,0,0,0,0",0.0
"1,1,7,6,4,5,0,6,4,4,0,3,6,0,5,0,0,0",0.0
"5,5,1,7,3,5,0,1,5,4,6,2,5,0,0,0,0",0.0
