tokens,rewards
"3,3,0,6,1,5,5,1,9,2,5,4,3,0,9,0,0,0,0",0.0
"7,1,2,9,4,2,9,0,0,0",0.7576348935591356
"3,3,6,1,6,8,0,6,6,1,9,1,0,5,0,7,0,9",0.0
"2,9,6,4,6,4,3,0,7,1,9,3,5,1,1,0,0,0,5,0,0,0",0.0
"5,2,9,5,2,8,3,6,2,9,3,0,5,4,6,0,0,0,0",0.0
"7,1,4,9,6,0,1,6,4,1,4,4,9,0,0,0,0,0",0.0
"6,1,9,3,8,0,2,3,3,7,3,9,0,8,2,0,0,0,0",0.9717106531361195
"5,4,0,2,5,0,4,3,9,2,4,0,2,4,9,0,0,0,0",0.0
"7,6,3,0,2,6,2,0,9,4,9,3,0,0",0.7616713637790334
"3,5,0,7,2,4,5,0,4,6,1,2,9,2,0,0,9,0,0",0.0
"7,4,5,1,6,3,9,6,3,6,2,0,6,1,0,9,0,0,0",0.8015959859142032
"4,4,0,0,8,4,6,3,4,0,3,9,0,9,0",0.05324052102332183
"5,8,6,6,1,5,0,6,4,0,9",0.0
"8,2,1,6,1,5,5,1,6,2,2,9,0,0,0,1,0,0,0,0",0.8097864666867767
"6,8,3,5,3,5,2,0,9,9,5,1,2,2,1,0,0,0,0,0",0.0
"7,6,1,9,4,6,1,2,2,5,3,4,0,4,9,0,0,0,0,0,0",0.0
"1,9,3,7,0,6,1,2,2,3,3,5,0,9,0,0,0,0",0.0
"3,5,2,4,1,6,7,5,5,0,7,6,0,0,0,2,9,0",0.0
"3,2,4,3,6,0,4,1,0,4,8,6,3,0,0,0,0,0,9,9",0.8665410966214917
"7,1,5,0,5,4,1,4,9,4,9,1,4,1,5,0,0,0,0,0,0",0.0
"5,4,9,4,7,1,9,3,6,2,3,0,0,0,3,0,0,0",0.0
"1,8,0,1,5,1,3,3,9,0,3,0,1,1,9,0,0,0,0",0.0
"3,2,7,3,1,2,6,6,2,5,0,1,5,0,0,0,0,9,0,0",0.0
"6,1,1,8,5,1,9,0,5,5,0,0",0.0
"5,2,6,6,1,2,2,2,9,0,7,4,4,0,9,0,0,0,0",0.5557978623812869
"6,7,3,2,9,4,6,3,9,1,0,0,4,0,0,0",0.778345068625946
"4,9,1,4,0,2,3,6,3,9,3,3,0,0,0,3,0,0,0,0",0.9838064743810755
