tokens,rewards
"6,1,0,1,0,4,8,3,9,4,9,0,4,9,0",0.0
"1,7,5,1,9,8,2,4,4,4,8,2,0,8,0,9,0,9,0,0",0.0
"4,5,0,3,0,6,1,3,9,4,0,2,7,7,0,9,9",0.35932041644504453
"8,5,1,0,7,1,7,0,4,9,7,1,0,0",0.0
"1,3,6,2,9,1,3,9,0,9,4,4,0,0,1,3,0,4,0,0,0,0",0.19670762300433645
"3,6,0,2,4,2,9,7,7,7,6,0,9,9",0.33182895787645583
"6,2,9,8,3,1,3,4,0,8,3,3,4,0,9,9,0,0,0,0",0.0
"4,6,1,3,9,7,2,2,0,4,2,8,0,9,9,0,0,0",0.0
"8,2,9,1,6,3,1,1,2,4,8,1,9,0,4,0,9,0,0,0,0,0",0.0
"4,9,5,4,0,3,0,9",0.332650292903414
"8,8,6,1,9,8,2,9,0",0.0
"8,8,8,8,2,7,2,0,7,7,0,0",0.0
"4,3,4,8,3,5,3,9,7,3,9,4,9,7,0,0,0,0,0",0.0
"5,8,1,0,1,7,1,0,0,8,1,0,9",0.0
"4,3,4,0,9,9,8,3,1,9,0,0",0.0
"8,3,2,9,8,6,1,0,9,8,3,5,0,8,0",0.0
"6,1,8,2,0,8,1,8,8,0,0,0",0.0
"4,5,3,0,7,1,7,3,9,7,3,4,3,9,0,9,0,0,0",0.21891376364921503
"8,3,7,2,3,0,9,9,9",0.9606517184105734
"7,5,8,3,0,2,0,2,7,3,4,9,8,8,0,3,0,9,0",0.0
"1,8,0,7,5,2,3,9,3,0,0,0",0.0
"8,1,4,4,9,3,9,6,8,1,0,4,0,0,2,9,0,6,0",0.0
"2,1,2,0,0,0,4,9,7,6,4,4,9,4,9,0,4,1,0,0,0",0.16783496334860698
"3,0,7,6,7,7,2,9,2,1,3,0,9,4,2,0,0,9,0",0.2460432979402823
"7,6,2,9,1,9,2,8,8,3,9,3,0,0,1,0,0",0.0
"3,1,1,6,0,1,9,3,1,5,1,2,2,1,7,0,9,0,0,0,9,0,0,0",0.9962886088127307
"3,7,5,3,0,8,0,2,1,2,3,2,4,0,4,0,0,9,9,9,0,0",0.0
"8,4,0,8,3,3,1,5,4,1,0,1,2,2,0,8,0,0,0,0,9,0,0",0.0
"2,3,9,2,3,6,8,4,3,3,0,0,1,9,0,9,0,0,0",0.9800867069275174
"5,3,3,2,3,9,0,1,4,1,0,4,9,2,0,0,9,0,0,0",0.0
"2,6,3,8,4,1,7,3,9,4,1,4,0,9,0,9,0,0,0,0",0.0
"1,1,9,7,4,6,0,8,4,5,0,4,9,0,9",0.3330411930362876
"5,8,1,9,2,8,0,1,8,4,9,2,9,0,0",0.0
"8,8,3,3,0,7,5,8,3,3,0,9,9,1,0,0",0.0
"5,3,8,0,3,3,2,8,0,0,3,9,0,4,9,0",0.0
"2,5,3,9,2,0,9,1,7,7,7,0,8,0",0.0
"8,1,4,1,3,5,0,0,0,9,2,9,0",0.6129906959982386
